cust_id,income_yearly,debt_ratio,credit_rating,amount_requested,interest_pct,gender_type,family_status,edu_bg,job_status,loan_reason,internal_grade,is_repaid
86,39110.17,0.065,628.0,25702.37,13.78,Male,Married,High School,Student,Home,D4,0.0
87,30985.34,0.194,571.0,26556.59,13.78,Female,Married,Bachelor's,Employed,Car,F5,1.0
88,52448.89,0.183,592.0,8195.84,16.11,Male,Married,High School,Self-employed,Debt consolidation,E1,1.0
89,66989.04,0.069,671.0,13891.41,12.06,Male,Single,Master's,Employed,Debt consolidation,C4,1.0
90,8758.39,0.092,633.0,16884.16,12.68,Female,Single,Master's,Employed,Car,D5,1.0
91,54400.05,0.081,675.0,16010.8,11.48,Female,Married,High School,Employed,Business,C3,0.0
92,39415.09,0.069,656.0,28273.16,14.99,Female,Married,High School,Employed,Debt consolidation,D5,1.0
93,40275.96,0.173,575.0,16118.73,13.15,Female,Married,Master's,Employed,Business,F2,1.0
94,,ERR_VAL,,3043.87,10.76,Female,Single,,,Car,C4,1.0
95,57187.62,0.39,654.0,20221.11,12.41,Female,Married,PhD,Unemployed,Other,D5,0.0
96,55818.97,0.185,715.0,16051.89,12.93,Male,Single,High School,Employed,Car,C2,0.0
97,11342.89,0.12,634.0,10662.17,14.26,Male,Married,Bachelor's,Employed,Debt consolidation,D3,0.0
98,29196.43,0.166,705.0,8552.49,14.51,Female,Single,Bachelor's,Employed,Home,C5,1.0
99,,0.053,,12443.61,16.65,Male,Single,,,Home,E3,1.0
100,47272.31,0.065,670.0,22669.32,16.89,Female,Divorced,High School,Employed,Other,C2,1.0
101,55372.43,0.045,682.0,12693.51,12.81,Male,Single,Master's,Employed,Car,C4,1.0
102,49274.32,0.097,630.0,14693.15,12.92,Male,Married,High School,Employed,Debt consolidation,D2,1.0
103,91829.6,0.097,630.0,12500.03,11.79,Female,Married,Bachelor's,Retired,Education,D2,1.0
104,48601.89,0.1,638.0,18079.82,12.52,Male,Single,Master's,Self-employed,Education,D5,1.0
105,15300.73,0.179,733.0,14894.65,8.34,Female,Married,Bachelor's,Unemployed,Debt consolidation,C4,0.0
106,35762.7,0.181,745.0,15394.88,11.47,Female,Single,High School,Student,Debt consolidation,B4,0.0
107,39357.01,0.167,752.0,11774.34,7.54,Male,Single,Other,Retired,Debt consolidation,B1,1.0
108,17555.8,0.05,817.0,16555.81,12.07,Male,Single,Bachelor's,Employed,Business,A2,1.0
109,,ERR_VAL,,12206.54,15.16,Male,Married,,,Debt consolidation,D3,1.0
110,23839.95,0.155,638.0,16290.36,13.52,Female,Single,High School,Unemployed,Education,D2,0.0
111,38795.63,0.199,721.0,17233.15,12.27,Male,Married,High School,Employed,Debt consolidation,C1,1.0
112,49674.03,0.201,651.0,20588.01,13.88,Female,Married,Master's,Unemployed,Debt consolidation,D2,0.0
113,50818.13,0.051,681.0,7351.86,14.2,Male,Single,Bachelor's,Employed,Debt consolidation,C5,1.0
114,45231.99,0.221,706.0,25557.86,7.0,Male,Single,Bachelor's,Employed,Debt consolidation,C1,1.0
115,58540.24,0.037,728.0,26322.97,15.56,Female,Single,Bachelor's,Employed,Debt consolidation,C2,1.0
116,18121.8,0.093,658.0,3277.97,9.15,Male,Married,Master's,Employed,Car,D5,1.0
117,,0.139,,12855.21,11.52,Female,Married,,,Other,D5,0.0
118,53538.49,0.079,683.0,11686.13,11.35,Male,Married,High School,Unemployed,Car,C2,0.0
119,52689.15,0.096,771.0,12461.17,12.12,Male,Married,High School,Employed,Debt consolidation,B5,1.0
120,34991.91,0.092,723.0,12606.58,11.02,Male,Single,Bachelor's,Employed,Home,C4,1.0
121,44924.41,0.088,685.0,8051.89,11.43,Female,Single,Bachelor's,Employed,Debt consolidation,C1,1.0
122,61730.19,0.06,813.0,8162.63,10.07,Female,Married,Other,Employed,Debt consolidation,A4,1.0
123,,0.063,,27251.64,12.71,Male,Married,,,Education,C4,1.0
124,44389.97,0.092,738.0,19885.32,14.48,Female,Single,High School,Unemployed,Car,C4,0.0
125,91528.3,0.058,664.0,9150.58,11.73,Female,Single,High School,Employed,Business,D1,1.0
126,83472.47,0.065,684.0,25520.04,12.04,Male,Single,High School,Employed,Medical,C4,1.0
127,71654.26,0.05,734.0,10184.55,8.46,Male,Married,Bachelor's,Employed,Home,C1,1.0
128,17019.15,0.082,690.0,7782.41,9.8,Female,Married,Bachelor's,Employed,Debt consolidation,C3,1.0
129,,0.05,,23458.63,11.77,Female,Married,,,Education,C2,1.0
130,74911.12,0.091,661.0,8180.27,14.4,Female,Single,Bachelor's,Employed,Debt consolidation,D4,1.0
131,56362.47,0.067,713.0,23678.95,12.12,Female,Single,Master's,Employed,Debt consolidation,C5,1.0
132,34991.97,0.08,711.0,18923.05,11.63,Male,Single,Bachelor's,Self-employed,Debt consolidation,C1,1.0
133,20861.75,0.055,722.0,17963.68,10.86,Male,Single,High School,Employed,Other,C3,1.0
134,,0.289,,14007.93,8.58,Male,Single,,,Debt consolidation,C1,1.0
135,34503.29,0.096,671.0,6154.81,13.37,Male,Single,High School,Employed,Home,C4,1.0
136,63740.21,0.12,641.0,28796.22,11.81,Male,Single,Bachelor's,Unemployed,Medical,D2,0.0
137,100902.91,0.09,718.0,14100.49,11.38,Male,Single,High School,Employed,Debt consolidation,C5,1.0
138,62278.37,0.246,645.0,16678.54,14.49,Female,Single,High School,Unemployed,Debt consolidation,D1,0.0
139,41273.47,0.153,668.0,28755.36,15.08,Female,Married,Bachelor's,Employed,Debt consolidation,D1,1.0
140,29598.98,0.088,684.0,19103.8,12.09,Female,Single,High School,Unemployed,Debt consolidation,C4,0.0
141,151058.57,0.138,633.0,14800.66,14.07,Female,Single,Other,Student,Home,D1,1.0
142,,0.116,,5398.71,10.24,Male,Married,,,Other,B5,1.0
143,26010.24,0.095,752.0,2318.15,8.24,Female,Single,Bachelor's,Employed,Debt consolidation,B5,1.0
144,30479.65,0.096,582.0,1682.2,13.37,Female,Married,Bachelor's,Employed,Education,E5,1.0
145,47989.57,0.058,588.0,22331.2,15.05,Female,Single,Bachelor's,Employed,Debt consolidation,E1,1.0
146,50998.93,0.153,662.0,6178.29,14.88,Male,Single,High School,Employed,Car,D1,1.0
147,52854.02,0.053,558.0,6697.48,18.07,Male,Single,Bachelor's,Employed,Education,F1,1.0
148,23486.63,0.101,709.0,20559.16,12.16,Female,Married,Master's,Employed,Debt consolidation,C4,1.0
149,26119.44,0.082,683.0,10840.66,12.7,Female,Single,High School,Employed,Business,C3,1.0
150,59733.85,0.098,570.0,23951.85,16.57,Male,Married,Bachelor's,Employed,Education,F1,0.0
151,56543.26,0.126,682.0,16292.21,12.6,Male,Single,High School,Employed,Debt consolidation,C5,1.0
152,51539.48,0.162,614.0,6690.18,13.05,Male,Single,High School,Employed,Debt consolidation,D5,1.0
153,26451.2,0.35,685.0,25442.02,13.91,Male,Single,High School,Employed,Medical,C1,0.0
154,94494.8,0.216,695.0,16358.61,12.71,Female,Single,Bachelor's,Employed,Debt consolidation,C3,1.0
155,54563.4,0.077,635.0,13676.11,10.84,Female,Married,Master's,Self-employed,Debt consolidation,D3,0.0
156,14263.18,0.21,703.0,17608.55,12.19,Female,Single,High School,Employed,Medical,C5,1.0
157,,ERR_VAL,,14282.4,12.98,Male,Single,,,Debt consolidation,C1,1.0
158,88280.76,0.201,712.0,26984.32,13.7,Female,Single,Master's,Employed,Business,C1,0.0
159,59893.04,0.111,622.0,6954.39,13.78,Female,Married,High School,Student,Debt consolidation,D3,0.0
160,90711.67,0.097,724.0,8471.46,12.61,Female,Single,Bachelor's,Employed,Debt consolidation,C5,1.0
161,38162.04,0.191,728.0,9607.69,13.35,Female,Single,PhD,Employed,Debt consolidation,C5,1.0
162,23454.28,0.138,686.0,16761.92,14.03,Female,Single,High School,Employed,Debt consolidation,C3,1.0
163,,ERR_VAL,,2820.04,10.0,Female,Single,,,Debt consolidation,C4,1.0
164,39735.93,0.068,674.0,22249.23,12.62,Female,Married,Bachelor's,Employed,Debt consolidation,C5,1.0
165,56926.34,0.192,647.0,15369.59,16.16,Female,Single,High School,Unemployed,Car,D5,0.0
166,29786.41,0.063,740.0,15255.31,11.83,Female,Divorced,Bachelor's,Employed,Debt consolidation,B2,1.0
167,11771.43,0.277,767.0,7587.72,12.6,Female,Married,Bachelor's,Self-employed,Other,B2,1.0
168,,0.085,,17134.04,10.94,Male,Married,,,Debt consolidation,C4,1.0
169,13800.16,0.062,713.0,5389.88,10.5,Female,Married,Bachelor's,Employed,Debt consolidation,C4,1.0
170,49566.05,0.073,655.0,10892.18,12.6,Female,Married,High School,Employed,Medical,D1,1.0
171,53735.21,0.062,653.0,16686.17,12.75,Female,Single,Bachelor's,Unemployed,Debt consolidation,D3,0.0
172,23630.84,0.053,674.0,1533.83,15.99,Female,Single,Bachelor's,Employed,Debt consolidation,C4,1.0
173,,0.145,,5997.89,11.81,Male,Single,,,Other,C2,0.0
174,,ERR_VAL,,18582.12,12.98,Female,Single,,,Business,F4,0.0
175,15789.33,0.15,719.0,16153.4,8.23,Female,Married,Master's,Employed,Education,C5,1.0
176,67549.57,0.082,636.0,9543.73,12.01,Female,Single,Bachelor's,Retired,Other,D5,1.0
177,106736.17,0.265,633.0,23800.94,13.94,Female,Married,Bachelor's,Unemployed,Debt consolidation,D2,0.0
178,45212.52,0.046,683.0,23958.37,13.01,Female,Single,High School,Employed,Debt consolidation,C4,1.0
179,53920.14,0.105,603.0,18176.19,14.52,Female,Married,Bachelor's,Employed,Car,E5,1.0
180,16299.96,0.039,729.0,20679.41,12.72,Female,Single,Bachelor's,Employed,Debt consolidation,C3,1.0
181,18461.8,0.191,695.0,10281.41,16.65,Female,Single,Bachelor's,Self-employed,Debt consolidation,C2,1.0
182,58977.73,0.123,694.0,16111.67,14.26,Female,Single,Bachelor's,Employed,Debt consolidation,C2,1.0
183,25701.46,0.211,705.0,18677.59,11.16,Male,Single,Bachelor's,Employed,Education,C3,1.0
184,25425.66,0.069,703.0,14014.07,12.74,Male,Divorced,Bachelor's,Employed,Debt consolidation,C5,1.0
185,,ERR_VAL,,13662.87,13.78,Male,Single,,,Debt consolidation,C3,1.0
186,64483.67,0.065,745.0,29118.93,9.96,Female,Married,High School,Employed,Debt consolidation,B5,1.0
187,26504.1,0.303,697.0,10228.37,12.87,Male,Single,High School,Employed,Debt consolidation,C1,1.0
188,144482.06,0.056,738.0,24777.22,10.48,Female,Married,Bachelor's,Employed,Debt consolidation,C1,0.0
189,71732.15,0.07,532.0,8586.07,16.77,Female,Married,Master's,Employed,Business,F4,1.0
190,45148.87,0.021,748.0,12940.9,11.94,Female,Married,Bachelor's,Employed,Debt consolidation,B1,1.0
191,49895.42,0.098,672.0,12452.0,15.48,Female,Married,Bachelor's,Employed,Car,C4,1.0
192,15113.96,0.086,709.0,7443.63,14.72,Male,Married,Other,Employed,Debt consolidation,C4,1.0
193,36603.46,0.078,622.0,13503.12,14.15,Female,Married,Bachelor's,Employed,Medical,D2,1.0
194,,0.205,,18151.59,9.65,Male,Single,,,Car,C2,0.0
195,26659.61,0.093,754.0,20786.02,8.89,Female,Married,Bachelor's,Employed,Medical,B2,1.0
196,57273.53,0.133,776.0,5593.68,12.19,Female,Married,Bachelor's,Employed,Car,B1,1.0
197,20576.02,0.082,664.0,20278.03,12.28,Male,Married,High School,Employed,Debt consolidation,D2,1.0
198,52891.53,0.079,636.0,15786.35,15.24,Male,Married,Bachelor's,Employed,Debt consolidation,D2,1.0
199,60903.99,0.053,735.0,13758.98,13.7,Female,Married,Bachelor's,Self-employed,Debt consolidation,C2,1.0
200,49621.39,0.065,631.0,15504.01,12.31,Male,Married,Bachelor's,Employed,Debt consolidation,D1,1.0
201,73097.77,0.094,688.0,15354.96,15.5,Female,Single,Bachelor's,Employed,Debt consolidation,C4,1.0
202,53495.56,0.093,571.0,30994.85,14.81,Female,Single,Other,Employed,Debt consolidation,F2,1.0
203,43781.97,0.098,728.0,16188.95,13.32,Female,Single,Bachelor's,Employed,Debt consolidation,C5,1.0
204,90675.94,0.021,708.0,19113.85,11.24,Female,Single,Bachelor's,Employed,Home,C2,1.0
205,27920.86,0.068,723.0,25984.33,8.58,Male,Married,Bachelor's,Employed,Other,C3,1.0
206,40982.5,0.061,751.0,15657.29,10.62,Female,Single,PhD,Employed,Debt consolidation,B5,1.0
207,51733.02,0.314,714.0,14669.94,10.69,Male,Single,Bachelor's,Student,Debt consolidation,C3,0.0
208,,ERR_VAL,,18176.01,9.53,Female,Divorced,,,Debt consolidation,B5,1.0
209,38930.75,0.092,599.0,13679.91,16.35,Female,Married,High School,Employed,Car,E3,1.0
210,56692.43,0.257,692.0,11479.46,12.18,Male,Single,Bachelor's,Unemployed,Vacation,C4,0.0
211,91988.86,0.162,717.0,11784.83,12.36,Male,Single,Bachelor's,Employed,Debt consolidation,C5,1.0
212,19194.07,0.064,729.0,25127.98,13.3,Male,Married,Bachelor's,Employed,Debt consolidation,C3,1.0
213,94877.06,0.147,622.0,12093.79,13.66,Female,Married,Bachelor's,Employed,Debt consolidation,D5,1.0
214,116847.89,0.201,672.0,6953.27,13.12,Female,Single,High School,Self-employed,Home,C2,1.0
215,19143.85,0.254,603.0,31025.69,12.74,Male,Married,Master's,Self-employed,Debt consolidation,E2,0.0
216,64957.18,0.058,732.0,24996.44,12.17,Female,Single,PhD,Employed,Other,C1,1.0
217,30239.94,0.065,683.0,12649.71,12.75,Male,Married,Bachelor's,Employed,Debt consolidation,C4,1.0
218,50841.15,0.1,721.0,15221.37,8.23,Male,Single,Master's,Employed,Other,C5,1.0
219,52371.09,0.067,696.0,15441.18,12.68,Male,Single,Bachelor's,Self-employed,Debt consolidation,C3,1.0
220,16299.56,0.225,763.0,15890.54,11.46,Female,Single,Master's,Employed,Debt consolidation,B2,1.0
221,22977.98,0.182,708.0,18136.73,13.74,Female,Married,Bachelor's,Employed,Other,C2,1.0
222,70543.76,0.086,762.0,18828.3,12.3,Female,Married,Master's,Retired,Debt consolidation,B5,1.0
223,16352.55,0.213,603.0,13961.99,13.86,Male,Married,High School,Self-employed,Car,E4,1.0
224,35757.17,0.196,692.0,26773.63,12.29,Male,Married,Bachelor's,Unemployed,Debt consolidation,C3,0.0
225,35697.34,0.093,612.0,12606.58,14.58,Male,Single,Master's,Employed,Debt consolidation,D2,1.0
226,37485.98,0.092,761.0,27529.43,9.72,Female,Single,High School,Retired,Debt consolidation,B5,1.0
227,47632.17,0.101,706.0,24110.41,13.61,Female,Married,Bachelor's,Employed,Debt consolidation,C1,1.0
228,34196.88,0.05,791.0,7892.39,9.08,Female,Married,Bachelor's,Employed,Debt consolidation,B2,1.0
229,39558.01,0.081,657.0,26347.93,15.51,Female,Married,Bachelor's,Unemployed,Car,D1,0.0
230,81034.65,0.109,694.0,11678.89,10.44,Male,Single,Bachelor's,Employed,Debt consolidation,C2,1.0
231,73347.37,0.15,733.0,1658.83,10.99,Female,Single,Master's,Employed,Education,C4,1.0
232,54885.69,0.133,742.0,20106.55,10.33,Female,Single,High School,Employed,Debt consolidation,B5,1.0
233,39059.2,0.067,713.0,8757.03,12.8,Female,Married,High School,Employed,Car,C2,1.0
234,25482.12,0.087,637.0,15484.53,15.64,Male,Married,Other,Employed,Other,D2,0.0
235,43748.12,0.143,648.0,8163.53,12.87,Female,Single,Master's,Unemployed,Debt consolidation,D3,0.0
236,43676.65,0.068,664.0,23204.87,13.97,Female,Single,Bachelor's,Employed,Debt consolidation,D1,0.0
237,16380.74,0.108,841.0,5481.42,8.15,Female,Single,Master's,Employed,Debt consolidation,A5,1.0
238,18255.3,0.077,677.0,5124.86,9.86,Male,Single,Bachelor's,Employed,Debt consolidation,C3,1.0
239,,ERR_VAL,,15265.93,12.72,Female,Married,,,Debt consolidation,D5,1.0
240,20463.04,0.034,676.0,17986.35,12.1,Male,Married,Bachelor's,Employed,Business,C1,1.0
241,16989.94,0.037,662.0,7263.67,11.84,Female,Single,Master's,Employed,Debt consolidation,D2,0.0
242,38430.27,0.122,662.0,15122.78,12.76,Male,Married,Bachelor's,Employed,Car,D2,1.0
243,61428.94,0.088,592.0,12042.54,11.82,Female,Married,High School,Employed,Education,E3,0.0
244,58457.25,0.227,738.0,27386.03,11.52,Female,Single,Bachelor's,Employed,Medical,C5,1.0
245,79987.28,0.08,703.0,14228.39,13.61,Male,Single,Bachelor's,Employed,Debt consolidation,C1,1.0
246,,ERR_VAL,,15990.04,11.35,Female,Married,,,Education,C2,1.0
247,35147.03,0.047,655.0,18928.02,12.37,Female,Married,PhD,Employed,Education,D1,1.0
248,81457.88,0.285,628.0,6281.73,10.32,Male,Single,Bachelor's,Employed,Education,D2,0.0
249,45481.82,0.079,664.0,20897.6,14.5,Female,Single,Master's,Self-employed,Debt consolidation,D3,1.0
250,78734.2,0.392,633.0,16555.81,15.01,Female,Married,Bachelor's,Student,Medical,D2,0.0
251,71025.48,0.054,671.0,11609.75,9.27,Male,Married,Bachelor's,Employed,Home,C2,1.0
252,23154.15,0.113,641.0,18094.23,12.08,Female,Married,Bachelor's,Employed,Business,D4,1.0
253,,0.082,,10963.4,12.52,Male,Single,,,Debt consolidation,C5,1.0
254,,ERR_VAL,,8993.68,15.92,Female,Single,,,Debt consolidation,E4,0.0
255,52450.77,0.262,693.0,15891.77,12.97,Male,Married,Bachelor's,Employed,Debt consolidation,C5,0.0
256,,ERR_VAL,,30386.79,10.74,Female,Single,,,Medical,C4,1.0
257,74572.57,0.076,569.0,10359.89,12.59,Female,Married,Bachelor's,Retired,Education,F5,1.0
258,25173.26,0.19,642.0,14231.92,13.86,Male,Married,Master's,Employed,Debt consolidation,D5,1.0
259,50445.4,0.171,638.0,24300.91,15.71,Female,Married,Bachelor's,Employed,Debt consolidation,D3,1.0
260,20047.37,0.236,722.0,16335.06,10.94,Female,Married,Master's,Unemployed,Debt consolidation,C5,0.0
261,67788.14,0.19,723.0,14317.24,12.56,Male,Single,Bachelor's,Employed,Debt consolidation,C4,1.0
262,,0.062,,10699.03,9.4,Male,Married,,,Debt consolidation,C5,1.0
263,22187.45,0.067,683.0,11443.61,9.99,Male,Married,Master's,Employed,Business,C4,1.0
264,,0.203,,14016.58,11.56,Female,Single,,,Debt consolidation,A2,0.0
265,,ERR_VAL,,9913.24,11.4,Male,Married,,,Education,C3,1.0
266,,ERR_VAL,,23800.94,12.63,Female,Single,,,Debt consolidation,C2,0.0
267,133059.37,0.095,667.0,12676.66,12.5,Male,Single,High School,Employed,Business,D5,1.0
268,71454.84,0.087,793.0,20808.31,8.3,Male,Married,High School,Employed,Home,B4,1.0
269,25683.28,0.079,637.0,14136.66,15.91,Female,Married,Bachelor's,Employed,Debt consolidation,D3,1.0
270,49816.42,0.139,681.0,27982.17,13.44,Male,Divorced,High School,Employed,Debt consolidation,C4,1.0
271,,0.042,,18458.15,11.6,Female,Single,,,Debt consolidation,A4,1.0
272,,0.13,,17053.81,11.52,Male,Married,,,Medical,C3,1.0
273,15484.55,0.068,649.0,11934.58,15.52,Male,Single,Bachelor's,Unemployed,Other,D4,0.0
